"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","按商品获取学习阶段","1","0","","0"
"0","","0","获取学习计划信息","1","0","","0"
"0","","0","获取高频错题","3","0","","0"
"0","","0","获取用户知识目标","1","0","","0"
"0","","0","生成AI用户消息","1","0","","0"
"0","","0","显示二维码入口","1","0","","0"
"0","","0","获取记忆卡片分类","1","0","","0"
"0","","0","获取课程列表","1","0","","0"
"0","","0","章节题目树查询","1","0","","0"
"0","","0","用户中心","1","0","Web用户登录","0"
"0","","0","获取学习计划详情","1","0","","0"
"0","","0","学习中心","1","0","获取学习列表","0"
"0","","0","获取试卷列表","1","0","","0"
"0","","0","获取AI学习倒计时","1","0","","0"
"0","","0","获取用户商品分类","1","0","","0"
"0","","0","获取阶段任务列表","1","0","","0"
"0","","0","查询AI学习是否开启","1","0","","0"
"0","","0","获取学习计划列表","1","0","","0"
"0","","0","AI拍照搜题","1","0","获取搜题分类列表","0"
